# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\rjaud\Documents\385\Lab4\ece385sp16_lab4_adders\Adders.csv
# Generated on: Wed Feb 06 21:15:45 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Ahex2[1],Output,PIN_AA26,5,B5_N1,PIN_T8,,,,,,
Ahex2[2],Output,PIN_Y25,5,B5_N1,PIN_W3,,,,,,
Ahex2[3],Output,PIN_W26,5,B5_N1,PIN_Y6,,,,,,
Ahex2[4],Output,PIN_Y26,5,B5_N1,PIN_AE2,,,,,,
Ahex2[5],Output,PIN_W27,5,B5_N1,PIN_AB3,,,,,,
Ahex2[6],Output,PIN_W28,5,B5_N1,PIN_V7,,,,,,
Ahex3[0],Output,PIN_V21,5,B5_N1,PIN_U6,,,,,,
Ahex3[1],Output,PIN_U21,5,B5_N0,PIN_Y4,,,,,,
Ahex3[2],Output,PIN_AB20,4,B4_N0,PIN_Y3,,,,,,
Ahex3[3],Output,PIN_AA21,4,B4_N0,PIN_AC3,,,,,,
Ahex3[4],Output,PIN_AD24,4,B4_N0,PIN_W2,,,,,,
Ahex3[5],Output,PIN_AF23,4,B4_N0,PIN_V1,,,,,,
Ahex3[6],Output,PIN_Y19,4,B4_N0,PIN_AB1,,,,,,
Bhex0[0],Output,PIN_AB19,4,B4_N0,PIN_AB6,,,,,,
Bhex0[1],Output,PIN_AA19,4,B4_N0,PIN_AB4,,,,,,
Bhex0[2],Output,PIN_AG21,4,B4_N2,PIN_W8,,,,,,
Bhex0[3],Output,PIN_AH21,4,B4_N2,PIN_AE3,,,,,,
Bhex0[4],Output,PIN_AE19,4,B4_N1,PIN_AF2,,,,,,
Bhex0[5],Output,PIN_AF19,4,B4_N1,PIN_AA7,,,,,,
Bhex0[6],Output,PIN_AE18,4,B4_N2,PIN_Y7,,,,,,
Bhex1[0],Output,PIN_AD18,4,B4_N1,PIN_AD3,,,,,,
Bhex1[1],Output,PIN_AC18,4,B4_N1,PIN_AA3,,,,,,
Bhex1[2],Output,PIN_AB18,4,B4_N0,PIN_U8,,,,,,
Bhex1[3],Output,PIN_AH19,4,B4_N2,PIN_AD2,,,,,,
Bhex1[4],Output,PIN_AG19,4,B4_N2,PIN_U7,,,,,,
Bhex1[5],Output,PIN_AF18,4,B4_N1,PIN_V8,,,,,,
Bhex1[6],Output,PIN_AH18,4,B4_N2,PIN_AA4,,,,,,
Bhex2[0],Output,PIN_AA17,4,B4_N1,PIN_U1,,,,,,
Bhex2[1],Output,PIN_AB16,4,B4_N2,PIN_U4,,,,,,
Bhex2[2],Output,PIN_AA16,4,B4_N2,PIN_R2,,,,,,
Bhex2[3],Output,PIN_AB17,4,B4_N1,PIN_T4,,,,,,
Bhex2[4],Output,PIN_AB15,4,B4_N2,PIN_R7,,,,,,
Bhex2[5],Output,PIN_AA15,4,B4_N2,PIN_T3,,,,,,
Bhex2[6],Output,PIN_AC17,4,B4_N2,PIN_R1,,,,,,
Bhex3[0],Output,PIN_AD17,4,B4_N2,PIN_W1,,,,,,
Bhex3[1],Output,PIN_AE17,4,B4_N2,PIN_U5,,,,,,
Bhex3[2],Output,PIN_AG17,4,B4_N2,PIN_AC2,,,,,,
Bhex3[3],Output,PIN_AH17,4,B4_N2,PIN_AC1,,,,,,
Bhex3[4],Output,PIN_AF17,4,B4_N2,PIN_AB2,,,,,,
Bhex3[5],Output,PIN_AG18,4,B4_N2,PIN_AD1,,,,,,
Bhex3[6],Output,PIN_AA14,3,B3_N0,PIN_V2,,,,,,
CO,Output,PIN_F17,7,B7_N2,PIN_V4,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
LoadB,Input,PIN_M21,6,B6_N1,PIN_M3,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_V3,,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_R5,,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_K3,,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_AE4,,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_K1,,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_L4,,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_J6,,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_M4,,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_L7,,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_L2,,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AA6,,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AA5,,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_K4,,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_Y5,,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AC5,,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_W7,,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_AE1,,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_J5,,,,,,
Sum[0],Output,PIN_G19,7,B7_N2,PIN_K7,,,,,,
Sum[1],Output,PIN_F19,7,B7_N0,PIN_M5,,,,,,
Sum[2],Output,PIN_E19,7,B7_N0,PIN_N8,,,,,,
Sum[3],Output,PIN_F21,7,B7_N0,PIN_N4,,,,,,
Sum[4],Output,PIN_F18,7,B7_N1,PIN_K2,,,,,,
Sum[5],Output,PIN_E18,7,B7_N1,PIN_R4,,,,,,
Sum[6],Output,PIN_J19,7,B7_N2,PIN_AD7,,,,,,
Sum[7],Output,PIN_H19,7,B7_N2,PIN_M2,,,,,,
Sum[8],Output,PIN_J17,7,B7_N2,PIN_R3,,,,,,
Sum[9],Output,PIN_G17,7,B7_N1,PIN_U3,,,,,,
Sum[10],Output,PIN_J15,7,B7_N2,PIN_T7,,,,,,
Sum[11],Output,PIN_H16,7,B7_N2,PIN_P2,,,,,,
Sum[12],Output,PIN_J16,7,B7_N2,PIN_P1,,,,,,
Sum[13],Output,PIN_H17,7,B7_N2,PIN_U2,,,,,,
Sum[14],Output,PIN_F15,7,B7_N2,PIN_V5,,,,,,
Sum[15],Output,PIN_G15,7,B7_N2,PIN_M7,,,,,,
